quechua,normalizado,variantes,categoria,traduccion,definicion_completa
pi,pi,pi,pron.,interr. Quién. / ¿Quién es?: Pitaq?,interr. Quién. / ¿Quién es?: Pitaq?
pichana,pichana,pichana,s.,Escoba. Utensilio para barrer,Escoba. Utensilio para barrer.
pichasqa,pichasqa,"pichasqa, ch'ak",adj.,"Despejado, -da. Dícese del cielo descubierto","Despejado, -da. Dícese del cielo descubierto. | Claro. Sut'i."
pichay,pichay,pichay,tr.,Barrer con escoba,Barrer con escoba. | Asear. Hacer limpieza. Llump'achay. | Adornar. Sumaqchay.
pichqa,pichqa,"pichqa, phisqa",adj.,Cinco,Cinco.
pichu,pichu,pichu,s.,"Anat, Tibia. Hueso mayor y principal de la pierna","Anat, Tibia. Hueso mayor y principal de la pierna."
pichuski,pichuski,pichuski,s.,Tobillo. Parte saliente de la garganta del píe,Tobillo. Parte saliente de la garganta del píe.
pikchay,pikchay,"pikchay, pikchuy",tr.,Masticar coca,Masticar coca.
pikchu,pikchu,pikchu,s.,Pirámide. Sólido puntiagudo de varias caras,Pirámide. Sólido puntiagudo de varias caras. | Cono. Ch'utu.
pikchu,pikchu,pikchu,s.,Porción de coca que se mastica,Porción de coca que se mastica.
pikchuy,pikchuy,pikchuy,tr.,Masticar coca,Masticar coca.
piki,piki,piki,s.,Pulga. Insecto parásito,Pulga. Insecto parásito.
pili,pili,"pili, ñuñuma",s.,"Pato, Ave palmípeda","Pato, Ave palmípeda."
pillcha,pillcha,pillcha,s.,"fam. Carda, Cabeza de cardencha","fam. Carda, Cabeza de cardencha. | s. Cardencha, planta dipsáceo cuyas cabezas espinosas sirven para cardar. Pillcha."
pillku,pillku,pillku,adj.,Rojo,Rojo (sinón.: Puka).
pillpintu,pillpintu,pillpintu,s.,Mariposa. Clase de insectos alados,"Mariposa. Clase de insectos alados. | Mariposa nocturna, pavón nocturno. Thaparaku."
pillu,pillu,"pillu, inkill pillu",s.,Guirnalda. Corona abierta de flores o follaje. pillu. Llawt'u. s. Corona. Guirnalda de la cabeza en señal de premio o dignidad real,Guirnalda. Corona abierta de flores o follaje. pillu. Llawt'u. s. Corona. Guirnalda de la cabeza en señal de premio o dignidad real.
pilluchay,pilluchay,pilluchay,tr.,Coronar. Poner la corona en la cabeza,Coronar. Poner la corona en la cabeza.
pillunku,pillunku,"pillunku, muyuq wayra",s.,Torbellino. Remolino de viento. pillunkuy (4). s. Remolino que arrastra el polvo,Torbellino. Remolino de viento. pillunkuy (4). s. Remolino que arrastra el polvo. | Remolino de agua. Phuyunku.
pillurichiy,pillurichiy,pillurichiy,s.,Coronación. Acto de coronar,Coronación. Acto de coronar.
pillurichiy,pillurichiy,pillurichiy,tr.,"Coronar, colocar una corona en la cabeza de alguien","Coronar, colocar una corona en la cabeza de alguien."
pillwiy,pillwiy,pillwiy,intr.,Nadar los peces,Nadar los peces.
pillwiy,pillwiy,pillwiy,tr.,Hilar lana toscamente con un palito,Hilar lana toscamente con un palito.
pincha,pincha,"pincha, rarq'a, larq'a",s.,Acueducto. Conducto artificial por donde va el agua al lugar determinado,Acueducto. Conducto artificial por donde va el agua al lugar determinado. | Witkhu.
pincha,pincha,pincha,s.,Albañal. Canal que da salida a las aguas residuales,Albañal. Canal que da salida a las aguas residuales.
pinchachay,pinchachay,pinchachay,tr.,Construir acueducto o albañal,Construir acueducto o albañal.
pinchi,pinchi,pinchi,s.,"Chispa, Partícula encendida","Chispa, Partícula encendida. | Relámpago. Luz vivísima producida por una descarga eléctrica en las nubes. Lliphi, illapa, chuqi illa."
pinchin khuru,pinchin khuru,"pinchin khuru, nina nina, pinchin kuru",s.,"Luciérnaga. pinchiy, lliplliy, kachachachay. tr. Destellar. Despedir destellos","Luciérnaga. pinchiy, lliplliy, kachachachay. tr. Destellar. Despedir destellos."
pinchiy,pinchiy,pinchiy,intr.,"Relampaguear, haber relámpagos","Relampaguear, haber relámpagos."
pinkillu,pinkillu,pinkillu,s.,"Instrumento con voz de mujer, de música alegre","Instrumento con voz de mujer, de música alegre. | Flauta. Quena. Instrumento de música, melancólico, con voz de hombre. Qina."
pinkillukuy,pinkillukuy,pinkillukuy,tr. y prnl.,Tañer el pinkillu,Tañer el pinkillu.
pinku,pinku,pinku,s.,"Cumbrera del techo. Viga que forma la cumbrera (JL). pinta, jach'una, simp'i, challwana. s. Anzuelo. Útil de pesca","Cumbrera del techo. Viga que forma la cumbrera (JL). pinta, jach'una, simp'i, challwana. s. Anzuelo. Útil de pesca."
pinas,pinas,"pinas, paquma",adj.,"Cautivo, -va. Aprisionado","Cautivo, -va. Aprisionado."
pinas,pinas,"pinas, watay wasi",s.,Cárcel. Casa destinada a tener encerrados a los presos,"Cárcel. Casa destinada a tener encerrados a los presos. | Cárcel subterránea. Samkaywasi, samkawasi."
pinas,pinas,pinas,s.,"Prisionero, -ra. Cautivo","Prisionero, -ra. Cautivo."
piñaschay,piñaschay,"piñaschay, paqumay",tr.,Aprisionar. Encerrar en la cearcel,Aprisionar. Encerrar en la cearcel.
piñi,piñi,piñi,s.,"Joya. Objeto de plata, oro u otro material precioso usado como adorno","Joya. Objeto de plata, oro u otro material precioso usado como adorno."
piñi,piñi,piñi,s.,"Presea. Joya, alhaja","Presea. Joya, alhaja."
