quechua,normalizado,variantes,categoria,traduccion,definicion_completa
achachay!,achachay!,"achachay!, achachaw!",interj.,¡Qué frío!,¡Qué frío!
achakana,achakana,achakana,s.,Una de las variedades de cacto de raíz comestible,Una de las variedades de cacto de raíz comestible.
achakiy,achakiy,achakiy,tr.,"Culpar a uno de algo, con mentira; calumniar (JH)","Culpar a uno de algo, con mentira; calumniar (JH)."
achalachiy,achalachiy,"achalachiy, achhalay",tr.,"Decorar. Adornar, hermosear","Decorar. Adornar, hermosear. | Soltar, desasir lo que estaba sujeto. Wataray, watannay, phaskay. | intr. Irse, marcharse. Ripuy. | prnl. Escaparse. Ayqipuy, llusp'ipuy. | Dislocarse una coyuntura. Ch'utay, muq'akuy."
achalay,achalay,achalay,intr.,"Vestir, ataviar con prendas que son sólo vanidad","Vestir, ataviar con prendas que son sólo vanidad."
achallqaw,achallqaw,"achallqaw, phuñi",s.,Cabello de maíz,Cabello de maíz.
achallqu,achallqu,achallqu,s.,Cabello o pelo que se encuentra en la mazorca de maíz,Cabello o pelo que se encuentra en la mazorca de maíz (sinón: Phuñi).
achanqara,achanqara,achanqara,s.,"Begonia. Planta ornamental silvestre, perene, originaria de América","Begonia. Planta ornamental silvestre, perene, originaria de América."
achiku,achiku,"achiku, q'ala, q'ara, ch'uti, llat'a, qhasti",adj.,"Desnudo, -da. Sin vestido, pelado","Desnudo, -da. Sin vestido, pelado."
achikuy,achikuy,achikuy,tr.,"Predecir, vaticinar","Predecir, vaticinar, (sinón: Umulliy). | Adivinar, presagiar. Watuy."
achikyay,achikyay,achikyay,intr.,"Alumbrar, iluminar, alborear. Aclarar","Alumbrar, iluminar, alborear. Aclarar."
achikyay,achikyay,achikyay,intr.,Amanecer,"Amanecer (sinón: Paqariy, sut'iyay)."
achinay,achinay,"achinay, watuy",tr.,"Adivinar. Predecir el futuro o descubrir las cosas ocultas, por medio de agüeros o sortilegios o por conjeturas","Adivinar. Predecir el futuro o descubrir las cosas ocultas, por medio de agüeros o sortilegios o por conjeturas."
achira,achira,achira,s.,"Planta ornamental del Perú, de raíz comestible","Planta ornamental del Perú, de raíz comestible."
achirana,achirana,achirana,s.,Regalo,Regalo. | Legado.
achiwa,achiwa,"achiwa, llanthuna",s.,Quitasol. Sombrilla a modo de paraguas,Quitasol. Sombrilla a modo de paraguas.
achiway,achiway,achiway,tr.,Hacer quitasoles,Hacer quitasoles.
achiwiti,achiwiti,achiwiti,s.,"Achiote. Bija. Su semilla se utiliza para dar color a las comidas; también se emplea para dar color al piso o a objetos de madera. achkhachay, yapay, askhachay, askhayachiy, achkayachiy. tr. Acrecentar. Aumentar","Achiote. Bija. Su semilla se utiliza para dar color a las comidas; también se emplea para dar color al piso o a objetos de madera. achkhachay, yapay, askhachay, askhayachiy, achkayachiy. tr. Acrecentar. Aumentar."
achu!,achu!,achu!,interj.,para reprender. ¡Qué es eso!,para reprender. ¡Qué es eso!
achu,achu,"achu, achuch",s.,Represión a los niños,Represión a los niños.
achuchikuy,achuchikuy,achuchikuy,prnl.,Dejarse llevaren vilo,Dejarse llevaren vilo.
achupalla,achupalla,achupalla,s.,"Pesa de bronce, medida española de 16 onzas (Pot.)","Pesa de bronce, medida española de 16 onzas (Pot.)."
achupalla,achupalla,achupalla,s.,"Piña. Ananás, ananá. achuqalla, q'arachupa, unkaka. s. Zarigüeya. Mamífero didelfo, propio de América","Piña. Ananás, ananá. achuqalla, q'arachupa, unkaka. s. Zarigüeya. Mamífero didelfo, propio de América."
achuqcha,achuqcha,achuqcha,s.,"Planta de la familia de las cucurbitáceas, de fruto alimenticio (JL)","Planta de la familia de las cucurbitáceas, de fruto alimenticio (JL)."
achura,achura,achura,s.,"Pitanza, provisión diaria, ración","Pitanza, provisión diaria, ración."
achuray,achuray,achuray,tr.,Repartir. Distribuir algo entre varios,Repartir. Distribuir algo entre varios. | Rak'iy. tr. Dividir un terreno. | Poner raya al cabello al peinarse (Pot.).
achuy,achuy,"achuy, achulliy",tr.,Abocar. Asir con la boca,Abocar. Asir con la boca.
achuy,achuy,achuy,tr.,"Comer gofio u otros parecidos. achhalakuy. r. y prnl. Vestirse de gala. achhalana, kaski, warawa, sanana. s. Adorno","Comer gofio u otros parecidos. achhalakuy. r. y prnl. Vestirse de gala. achhalana, kaski, warawa, sanana. s. Adorno."
achhalasqa,achhalasqa,achhalasqa,adj.,"Engalanado, -da. Adornado, embellecido","Engalanado, -da. Adornado, embellecido."
achhalay!,achhalay!,achhalay!,interj.,"¡Qué maravilla! achhalay, kaskichay, k'achanchay","¡Qué maravilla! achhalay, kaskichay, k'achanchay,"
sañay,sañay,sañay,tr.,Adornar. Engalanar con adornos,"Adornar. Engalanar con adornos. | Adornar con banderines o flores. T'ikachay, t'ikanchay."
achhiy,achhiy,"achhiy, jachiy",intr.,Estornudar. Despedir con violencia el aire por la nariz,Estornudar. Despedir con violencia el aire por la nariz.
achhiy,achhiy,"achhiy, jachiy",s.,Estornudo. Acción de arrojar con estrépito el aire por la nariz y la boca,Estornudo. Acción de arrojar con estrépito el aire por la nariz y la boca.
achhu!,achhu!,achhu!,interj.,"¡Qué dolor! achhuchiy, qayllachiy, asuchiy, k'askachiy, sispachiy, chimpachiy. tr. Acercar. Poner cerca o a menor distancia","¡Qué dolor! achhuchiy, qayllachiy, asuchiy, k'askachiy, sispachiy, chimpachiy. tr. Acercar. Poner cerca o a menor distancia."
achhurichiy,achhurichiy,"achhurichiy, ithichiy",tr.,Retirar. Apartar o separar una persona o cosa de otra de un sitio,"Retirar. Apartar o separar una persona o cosa de otra de un sitio. | prnl. Retirarse. Ithiy, ithiriy."
ajayllas!,ajayllas!,ajayllas!,interj.,Exclamación para manifestar que no se siente temor,Exclamación para manifestar que no se siente temor.
ajina,ajina,"ajina, jiña",adv.,"Así. De esta o de esa manera, de tal suerte. Así será","Así. De esta o de esa manera, de tal suerte. Así será."
aka tanqa,aka tanqa,aka tanqa,s.,"Escarabajo. Insecto coleóptero, que se cría en el estiércol","Escarabajo. Insecto coleóptero, que se cría en el estiércol."
aka wara,aka wara,aka wara,s.,"Pañal, tela para envolver criaturas","Pañal, tela para envolver criaturas."
aka,aka,"aka, isma",s.,Excremento. Heces del alimento,Excremento. Heces del alimento.
aka,aka,aka,s.,Ñoña. Estiércol,"Ñoña. Estiércol. | Estiércol, conocido como abono animal. Wanu. | Escoria, cosa vil."
akakipa,akakipa,akakipa,s.,Óxido,Óxido.
akakipasqa,akakipasqa,akakipasqa,adj.,Oxidado,Oxidado.
akakipay,akakipay,akakipay,tr.,Oxidar. Transformar un cuerpo por la acción del óxido u oxidante,Oxidar. Transformar un cuerpo por la acción del óxido u oxidante.
akapana,akapana,"akapana, antawara",s.,"Colorete, celaje","Colorete, celaje."
akarway,akarway,akarway,s.,Mariposa grande de color negro salpicado con pintas blancas (JAL),Mariposa grande de color negro salpicado con pintas blancas (JAL).
akay,akay,akay,tr. e intr.,"Defecar, evacuar, expeler las materias fecales","Defecar, evacuar, expeler las materias fecales."
akchalay!,akchalay!,akchalay!,interj.,"¡Qué lindo!, ¡qué hermoso!","¡Qué lindo!, ¡qué hermoso!"
akchi,akchi,akchi,s.,Estornudo,Estornudo.
akchiyay,akchiyay,akchiyay,intr.,Estornudar,Estornudar.
akilla,akilla,akilla,s.,Vaso de oro o de plata para actos rituales,Vaso de oro o de plata para actos rituales. | neol. Vaso de cristal u otro material similar para copear licores. | Vaso hecho en cerámica. Qiru.
aklla wasi,aklla wasi,aklla wasi,s.,"Casa de escogidas. aklla, aqlla, chiklla, chikllu. s. Selección. Elección de lo mejor","Casa de escogidas. aklla, aqlla, chiklla, chikllu. s. Selección. Elección de lo mejor."
aklla,aklla,"aklla, aqllasqa, akllasqa",adj.,"Escogido, -da","Escogido, -da. | Escogido para algún fin. Chikllasqa."
akllapay,akllapay,akllapay,tr.,"Seleccionar, escoger","Seleccionar, escoger."
akllapayay,akllapayay,akllapayay,tr.,Volver a seleccionar,"Volver a seleccionar. | Hacer o intentar escoger, (sinón.: Chikllupayay). akllapu, wanllapu, mullphaq. adj. Antojadizo, ávido por escoger lo mejor."
akllasqa,akllasqa,"akllasqa, aqllasqa, aklla",adj.,"Escogido, -da","Escogido, -da. | Escogido para algún fin. Chikllasqa. | Aplícase a los productos de gran tamaño y calidad. Wanlla."
akllay,akllay,"akllay, aqllay, chikllay",tr.,"Seleccionar. Elegir, escoger","Seleccionar. Elegir, escoger. | Juntar los buenos tubérculos de los de calidad inferior en tamaño. Wanllay (JAL)."
akllu,akllu,"akllu, jakllu",adj.,"/ Khaka. adj. y s. Tartamudo, -da. Que tartamudea","/ Khaka. adj. y s. Tartamudo, -da. Que tartamudea."
aklluy,aklluy,aklluy,intr.,Tartamudear,Tartamudear. | Balbucear. Hablar o leer con pronunciación dificultosa y vacilante. Janlluy.
akna,akna,"akna, ajina",adv.,"Así. aknu kay, sumaq kay, siklla kay. s. Hermosura. Belleza, calidad de hermoso. aknu, sumaq, k'acha, siklla. adj. Hermoso, -sa. Dotado de hermosura","Así. aknu kay, sumaq kay, siklla kay. s. Hermosura. Belleza, calidad de hermoso. aknu, sumaq, k'acha, siklla. adj. Hermoso, -sa. Dotado de hermosura."
aknupu,aknupu,aknupu,s.,Prenda de vestir muy hermosa,Prenda de vestir muy hermosa.
aknupullikuy,aknupullikuy,aknupullikuy,prnl.,"y r. Arreglarse, adornarse","y r. Arreglarse, adornarse."
aknupulliy,aknupulliy,aknupulliy,tr.,Acicalar. Adornar a una persona,Acicalar. Adornar a una persona.
aksu,aksu,"aksu, aqsu",s.,"Falda. Saya, fustán o falda de mujer. Vestidura talar, especie de túnica","Falda. Saya, fustán o falda de mujer. Vestidura talar, especie de túnica."
akta,akta,akta,s.,Garrapata. Parásito del ganado,Garrapata. Parásito del ganado. | Piojo de ciertos animales como la llama. Jamak'u.
aktuy,aktuy,aktuy,s.,Garrapata. / chipu,Garrapata. / chipu.
akulli,akulli,akulli,s.,Tiempo en el que se mastica la coca,Tiempo en el que se mastica la coca (sinón: Pikchu). | Masticación o mascada de coca (sinón: Pikcha).
akulliy,akulliy,akulliy,tr.,Masticar la coca,Masticar la coca (sinón: Pikchay).
akupalla,akupalla,akupalla,s.,"Mezcla de harina de trigo, maíz y otros para preparar una clase de comida","Mezcla de harina de trigo, maíz y otros para preparar una clase de comida."
akuy,akuy,akuy,tr.,Comer harina el maíz tostado y pulverizado,Comer harina el maíz tostado y pulverizado.
akuylla,akuylla,akuylla,adj. y s.,"Bellaco. Malo, astuto, perverso","Bellaco. Malo, astuto, perverso."
akya,akya,akya,adj.,Laborioso,"Laborioso. | Akya! interj. ¡Animo!, ¡valor!"
akyachiy,akyachiy,"akyachiy, akyay, sunquchay",tr.,"Animar. Estimularle, alentarle","Animar. Estimularle, alentarle."
akyanna,akyanna,"akyanna, sunqunna",s.,"Desánimo. Desaliento, falta de ánimo. akyannakuy, sunqunnakuy. prnl. Desanimarse. Perder el ánimo","Desánimo. Desaliento, falta de ánimo. akyannakuy, sunqunnakuy. prnl. Desanimarse. Perder el ánimo."
akyay,akyay,"akyay, sunquchay, akyachiy",tr.,"Animar. Estimular, alentar","Animar. Estimular, alentar."
alalaw!,alalaw!,alalaw!,interj.,Exclamación del que siente frío,Exclamación del que siente frío.
allana,allana,allana,adj. y s.,Sitio que puede ser cavado,Sitio que puede ser cavado.
allana,allana,allana,s.,Pico. Instrumento para cavar,Pico. Instrumento para cavar.
allaq,allaq,allaq,adj.,"Cavador, -ra. Que cava la tierra","Cavador, -ra. Que cava la tierra."
allay,allay,"allay, aymuray",s.,Cosecha. Tiempo y trabajo en que se recogen los frutos o productos,Cosecha. Tiempo y trabajo en que se recogen los frutos o productos.
allay,allay,"allay, aymuray",tr.,Cosechar. Hacer la cosecha,"Cosechar. Hacer la cosecha. | Recolectar, cosechar maíz. Tipiy."
allay,allay,allay,tr.,Cavar,Cavar. | Ahondar.
allay,allay,allay,tr.,Escarbar. Remover la tierra,"Escarbar. Remover la tierra. | Escarbar rascando con las uñas. Jasp'iy. | Rebuscar escarbando, como lo hacen las gallinas. Tharmiy."
allchhi,allchhi,allchhi,s.,"Nieto, ta respecto de la abuela. alli kaq, alli sunqu, k'acha sunqu, alli","Nieto, ta respecto de la abuela. alli kaq, alli sunqu, k'acha sunqu, alli"
sunquyuq,sunquyuq,sunquyuq,adj.,"Bondadoso, -sa. Lleno de bondad. alli kay, k'acha kay, alli sunqu kay, llamp'u kay, llamp'u sunqu kay. s. Bondad. Calidad de bueno","Bondadoso, -sa. Lleno de bondad. alli kay, k'acha kay, alli sunqu kay, llamp'u kay, llamp'u sunqu kay. s. Bondad. Calidad de bueno."
alli sunqu,alli sunqu,alli sunqu,adj.,"fig. Bondadoso, -sa","fig. Bondadoso, -sa."
alli,alli,alli,adj.,"Bueno, sano","Bueno, sano. | Bueno, -na. Que tiene bondad en su género. Sumaq. | Gustoso, agradable. K'acha."
allichaq,allichaq,allichaq,adj. y s.,"Componedor, corrector","Componedor, corrector. | Reparador."
allichay,allichay,"allichay, allinchay",tr.,"Componer, arreglar, corregir","Componer, arreglar, corregir. | Reparar. Mirar con cuidado. Rikhuy, rikuy. | Advertir, apercibir. Musyay."
allichay,allichay,"allichay, allinyachiy",tr.,"Conciliar. Poner de acuerdo, unir los ánimos. allichay. Pachiy, sullpay. tr. Agradecer. Dar gracias","Conciliar. Poner de acuerdo, unir los ánimos. allichay. Pachiy, sullpay. tr. Agradecer. Dar gracias."
allichay,allichay,allichay,tr.,"Aderezar, aliñar","Aderezar, aliñar. | Componer. Combinar, formar de varias cosas una, juntándolas y colocándolas en orden. Tupachiy. | Aliñar. Adornar. K'achachay."
allilla kay,allilla kay,allilla kay,s.,Salud,Salud.
allin iñiyniyuq,allin iñiyniyuq,"allin iñiyniyuq, sullull",adj.,Fiel. Leal,Fiel. Leal.
allin yuyay,allin yuyay,allin yuyay,s.,Conciencia. Sentimiento de lo justo,Conciencia. Sentimiento de lo justo.
allin,allin,allin,adv.,"Bien. De buena manera, sin inconveniente o dificultad","Bien. De buena manera, sin inconveniente o dificultad. | adj. y s. Bueno. Allin, sumaq."
allincha,allincha,allincha,s.,Norma,Norma.
allinchana,allinchana,allinchana,s.,Normalización,Normalización.
allinchay,allinchay,"allinchay, allichay",tr.,"Componer, arreglar, corregir","Componer, arreglar, corregir. | Reparar. Mirar con cuidado. Rikhuy, rikuy. | Advertir, apercibir. Musyay."
allinchay,allinchay,"allinchay, chiqanchay",tr.,"Enmendar. Corregir, quitar defectos","Enmendar. Corregir, quitar defectos. | Escarmentar, corregir rigurosamente. Wanachiy. | prnl. Enmendarse. Chiqanyay. | intr. Tomar enseñanza de lo que no ha visto y experimentado, escarmentar. Wanay. allinnaq, mana allinniyuq. adj. Desdichado, desgraciado."
allinnin,allinnin,allinnin,adj.,Mejor. Superior a otra cosa,Mejor. Superior a otra cosa. | Lo mejor de los productos. Wanlla. Patatas de gran tamaño y calidad: Wanlla papa.
allinniyuq,allinniyuq,"allinniyuq, usapu, illayuq, alliyniyuq",adj.,Acaudalado,Acaudalado. | Rico. Qhapaq.
allinniyuq,allinniyuq,allinniyuq,adj.,"Auspicioso, venturoso, sin contratiempos","Auspicioso, venturoso, sin contratiempos."
alliñiqin,alliñiqin,alliñiqin,adj.,"Perfecto, mejor","Perfecto, mejor."
allinyay,allinyay,allinyay,intr.,"Reconciliarse, recuperar la amistad entre ambos","Reconciliarse, recuperar la amistad entre ambos."
alliy,alliy,alliy,adv.,"Despacio, lentamente. alliyachiy, qhalichay, qhaliyachiy. tr. Sanar. Restituir al enfermo la salud","Despacio, lentamente. alliyachiy, qhalichay, qhaliyachiy. tr. Sanar. Restituir al enfermo la salud. | intr. Recobrar el enfermo la salud. Qhaliyay, alliyay, thaniyay. alliyay, qhaliyay, thaniyay. intr. Recobrar el enfermo la salud. | tr. Sanar. Restituir al enfermo la salud. Qhalichay, qhaliyachiy, alliyachiy. alliymanta, alliyllawan, allimanta. adv. Despacio, cuidadosamente. alliyniyuq, usapu, illayuq, allinniyuq,"
alliyniyuq,alliyniyuq,alliyniyuq,adj.,Acaudalado,Acaudalado. | Rico. Qhapaq.
allpaqa,allpaqa,"allpaqa, paqu",s.,"Alpaca. Mamífero rumiante de la familia de camélidos. allpariy, p'ituy. intrl. Afanarse. Bregar, trabajar con esmero","Alpaca. Mamífero rumiante de la familia de camélidos. allpariy, p'ituy. intrl. Afanarse. Bregar, trabajar con esmero."
allpi,allpi,allpi,s.,Mezcla de harina con agua y cocida,Mezcla de harina con agua y cocida.
allp'a,JALLP'A,"allp'a, JALLP'A",s.,Suelo. Terreno. Superficie de la tierra,Suelo. Terreno. Superficie de la tierra.
allqa,allqa,"allqa, tati",s.,Interrupción. Acción de interrumpir,Interrupción. Acción de interrumpir. | Acción de dividir tirando con violencia por los extremos. P'iti.
allqa,allqa,allqa,adj.,"Blanquinegro, -gra. De color mezclado de blanco y negro","Blanquinegro, -gra. De color mezclado de blanco y negro."
allqa,allqa,allqa,s.,"Falla. Interrupción de la actividad, frustración","Falla. Interrupción de la actividad, frustración."
allqachiy,allqachiy,"allqachiy, tatichiy",tr.,Interrumpir. Cortar la continuación de una acción en el lugar o en el tiempo,Interrumpir. Cortar la continuación de una acción en el lugar o en el tiempo. | Romper o arrancar una hebra. P'itiy.
allqamari,allqamari,allqamari,s.,Alcamar,"Alcamar. | Halcón. Ave rapaz diurna. Waman. | Cernícalo. K'illi, k'illichu."
allqay,allqay,"allqay, allqakuy",intr.,Fallar. Frustrarse,Fallar. Frustrarse. | Interrumpirse.
allqu,allqu,allqu,s.,Perro. Can,Perro. Can.
allquchay,allquchay,"allquchay, map'achay",tr.,Deshonrar. Quitar la honra,"Deshonrar. Quitar la honra. | Engañar, trampear, burlar. Pallquy. allquchay, pisichay, yanqachay,"
yanqhachay,yanqhachay,"yanqhachay, qisachay",tr.,"Despreciar. Tener en poco. Tener a menos. allquchay, qhisachay, k'amiy, lutiy. tr. Injuriar. Ofender, agraviar, insultar. allquchay. fig. tr. Escarnecer. Hacer mofa y burla de otro. allwakuy. Ayñay. s. Ladrido. Voz que emite el perro","Despreciar. Tener en poco. Tener a menos. allquchay, qhisachay, k'amiy, lutiy. tr. Injuriar. Ofender, agraviar, insultar. allquchay. fig. tr. Escarnecer. Hacer mofa y burla de otro. allwakuy. Ayñay. s. Ladrido. Voz que emite el perro."
allwi t'iriy,allwi t'iriy,allwi t'iriy,tr.,"Zurcir. Coser la rotura de una tela, juntando los pedazos con puntadas o pasos ordenados, de modo que la unión resulte disimulada","Zurcir. Coser la rotura de una tela, juntando los pedazos con puntadas o pasos ordenados, de modo que la unión resulte disimulada. | Zurcir bordeando. Awakipay. | Zurcir mal. Qiquy, t'iriy."
allwi,allwi,allwi,s.,Urdimbre. Conjunto de hilos que se ponen paralelamente en el telar para tejer,Urdimbre. Conjunto de hilos que se ponen paralelamente en el telar para tejer.
allwiy,allwiy,allwiy,tr.,Urdir. Preparar los hilos en la urdidera,Urdir. Preparar los hilos en la urdidera.
ama,ama,ama,adv.,Prohibir,Prohibir.
ama,ama,ama,adv.,No imperativo o prohibitivo. / No me digas: ama niwaychu. / No me hables: Ama parlawaychu,No imperativo o prohibitivo. / No me digas: ama niwaychu. / No me hables: Ama parlawaychu. | No. Que denota negación. Mana.
amachaq,amachaq,"amachaq, amachaqi",s.,Abogado,"Abogado. | Intercesor. Rimapuqi, rimaysiq."
amachaq,amachaq,amachaq,adj. y s.,Abogado,"Abogado. | Defensor, -ra. Que defiende. Jark'aq."
amachay,amachay,amachay,intr.,Abogar. Defender en juicio,"Abogar. Defender en juicio. | Interceder. Rimapuy, rimaysiy."
amachay,amachay,amachay,tr.,Defender con palabras,"Defender con palabras. | Defender. Proteger, atajar, amparar. Jark'ay, sayarikuy."
amachay,amachay,amachay,tr.,Refugiar. Amparar,Refugiar. Amparar. | Acoger. Qurpachay.
amalluqi,AMUQLLU,"amalluqi, AMUQLLU, amaqllu, amuqlli",s.,Hernia. Incordio,Hernia. Incordio.
amani,amani,amani,s.,"Nodriza, ama de cría","Nodriza, ama de cría."
amañana,amañana,amañana,adj. y s.,"Práctica, ejercicio","Práctica, ejercicio."
amaqllu,AMUQLLU,"amaqllu, AMUQLLU, amalluqi",s.,Hernia. Incordio,Hernia. Incordio.
amaraq,amaraq,amaraq,adv.,"Todavía, aún no. Adverbio de negación imperativa","Todavía, aún no. Adverbio de negación imperativa."
amaru,amaru,amaru,s.,"Boa, ofidio de tamaño considerable","Boa, ofidio de tamaño considerable. | Culebra. Serpiente. Mach'aqwa, mach'aqway. | Víbora. Katari."
amatay,amatay,amatay,tr.,"Prohibir. Vedar, impedir","Prohibir. Vedar, impedir."
amawta,JAMAWT'A,"amawta, JAMAWT'A",s.,"Doctor, -ra","Doctor, -ra."
amawta,JAMAWT'A,"amawta, JAMAWT'A",adj. y s.,"Sabio, -bia. Que posee sabiduría","Sabio, -bia. Que posee sabiduría. | Maestro, -tra. Quien enseña. Yachachiq."
ami,ami,"ami, maji",s.,"Hastío, empalagamiento","Hastío, empalagamiento. | Maji. Aburrimiento. Fastidio, tedio, cansancio."
amichikuy,amichikuy,amichikuy,prnl.,Empalagarse,Empalagarse.
amichiy,amichiy,"amichiy, amiy",tr.,Hastiar. Causar hastío,"Hastiar. Causar hastío. | prnl. Hastiarse. Amikuy, majiy."
amikuy,amikuy,"amikuy, majiy",prnl.,Hastiarse,"Hastiarse. | Hastiar. Causar hastío. tr. Amiy, amichiy."
amisqa,amisqa,amisqa,p.,"Empalagado, hartado","Empalagado, hartado."
amiy,amiy,amiy,tr.,"Empalagar, hastiar","Empalagar, hastiar. | tr. Hartar. Saciar. Saksachiy. | prnl. Hartarse saciarse. Saksay. amlla, mak'a, q'ayma, jamya. adj. Insípido, -da. Falto de sabor. Desabrido. | Soso, que no tiene sal, o tiene poca. Laq'a."
amlla,amlla,"amlla, qama",adj.,"Insípido, soso","Insípido, soso. | Desabrido, -da. Sin sabor, desagradable por falta de sabor. Q'ayma, laq'a. amllayay, q'aymayay, qamayay. intr. Desabrirse. Perder el sabor la comida guardada. Mak'ayay. ampi, utkhu. Unku. s. Algodón. Planta textil."
ampullu,ampullu,ampullu,s.,"f. Biznieta. Respecto de una persona, hija de su nieto o de su nieta","f. Biznieta. Respecto de una persona, hija de su nieto o de su nieta."
ampullu,ampullu,ampullu,s.,"Tataranieta. Respecto de una persona, hija de su biznieto o biznieta","Tataranieta. Respecto de una persona, hija de su biznieto o biznieta."
ampuy,ampuy,ampuy,intr. y rec.,Ayudarse recíprocamente entre dos o más personas,Ayudarse recíprocamente entre dos o más personas.
amsaylla,amsaylla,amsaylla,adv.,Rápidamente,Rápidamente.
amu amu,amu amu,amu amu,adj.,"Callado, reservado","Callado, reservado."
amu kay,amu kay,amu kay,s.,Mudez. Imposibilidad física de hablar,Mudez. Imposibilidad física de hablar.
amu,amu,"amu, upa",adj. y s.,"Mudo, -da. Privado de la habla","Mudo, -da. Privado de la habla."
amo,amo,"amo, wanu, kullcha, ruq'a",s.,Abono. Sustancia con que se abona la tierra,Abono. Sustancia con que se abona la tierra.
amuklli,AMUQLLU,"amuklli, AMUQLLU",s.,"Amígdala. Glándula a la entrada del esófago. amukllu, AMUQLLU, thuqaypanta. s. Carraspera. Aspereza y sequedad de la garganta que enronquece la voz","Amígdala. Glándula a la entrada del esófago. amukllu, AMUQLLU, thuqaypanta. s. Carraspera. Aspereza y sequedad de la garganta que enronquece la voz."
amullay,amullay,amullay,tr.,"Molestar, no dejar tranquilo a uno (JH)","Molestar, no dejar tranquilo a uno (JH)."
amuqlli,AMUQLLU,"amuqlli, AMUQLLU",s.,Amígdala,Amígdala.
amuyachiy,amuyachiy,"amuyachiy, upayachiy",tr.,Hacer callar,"Hacer callar. | intr. Enmudecer. Quedar callado. Amuyay, upayay, upa tukuy. amuyay, upayay, upa tukuy. intr. Enmudecer. Quedar callado. | tr. Hacer callar. Amuyachiy, upayachiy."
amuyay,amuyay,amuyay,intr.,"Enmudecer, perder el habla, quedar mudo","Enmudecer, perder el habla, quedar mudo."
ana,ana,ana,s.,Lunar. Mancha en el cutis,Lunar. Mancha en el cutis.
anana,anana,"anana, achupalla",s.,Ananás o piña,Ananás o piña.
anaq kay,anaq kay,"anaq kay, sinchi kay",s.,"Dureza. Condición de duro, consistencia","Dureza. Condición de duro, consistencia."
anaq,anaq,"anaq, sallu",adj.,"Duro, -ra. Resistente, consistente","Duro, -ra. Resistente, consistente. | Recio, fuerte. Sinchi. | Valiente, intrépido. Sinchi, sinch'i."
anasapa,anasapa,anasapa,adj.,"Lunarejo, -ja. Dícese de la persona que tiene uno o más lunares en el rostro","Lunarejo, -ja. Dícese de la persona que tiene uno o más lunares en el rostro."
anasu,anasu,anasu,s.,"f. Concubina. Conviviente, manceba, la querida","f. Concubina. Conviviente, manceba, la querida."
ancha,ancha,"ancha, achkha",adv.,Mucho. Bastante,Mucho. Bastante.
ancha,ancha,"ancha, sinchi, lluk",adv.,"Demasiado, -da","Demasiado, -da. | adj. Demasiado, -da. Que tiene demasía. Manchay, sinchi, achkha."
ancha,ancha,"ancha, sinchi, sinch'i",adv.,Muy. Que indica grado sumo,Muy. Que indica grado sumo. | Mucho.
ancha,ancha,ancha,adv.,"Manchay, achkha, chay","Manchay, achkha, chay"
chhika,chhika,chhika,adj.,Bastante. Que basta,Bastante. Que basta.
anchachay,anchachay,"anchachay, sinchirquy",tr.,Empeorar. Poner o volver peor,Empeorar. Poner o volver peor.
anchachay,anchachay,anchachay,tr.,Encarecer. Ponderar. Exagerar,Encarecer. Ponderar. Exagerar. | intr. Exagerarse. Anchayay.
ancha kay,ancha kay,ancha kay,s.,"Soberanía. Orgullo. presunción y amor propio desmedidos. ancha kaynin, kuraq kaynin, yallin. s. Demasía. Exceso. ancha qullana, yaru willka. adj. Eminentísimo,-ma. Excelentísimo","Soberanía. Orgullo. presunción y amor propio desmedidos. ancha kaynin, kuraq kaynin, yallin. s. Demasía. Exceso. ancha qullana, yaru willka. adj. Eminentísimo,-ma. Excelentísimo."
ancha yupa,ancha yupa,ancha yupa,adj.,Importante,Importante. | Demasiado.
anchaykuq kay,anchaykuq kay,anchaykuq kay,s.,"Arrogancia, soberbia, vanagloria","Arrogancia, soberbia, vanagloria."
anchaykuq,anchaykuq,anchaykuq,adj.,"Arrogante, soberbio","Arrogante, soberbio."
anchhi,anchhi,anchhi,adj. y s.,"Glotón, tragaldabas","Glotón, tragaldabas. | s. Gemido, sollozo, lloro cortado con lágrimas y suspiros."
anchhikuy,anchhikuy,anchhikuy,prnl.,"Vivir en medio de diversiones y francachelas (JL). anchhiy, llakipakuy. Jinchuy. intr. Suspirar. Dar suspiros","Vivir en medio de diversiones y francachelas (JL). anchhiy, llakipakuy. Jinchuy. intr. Suspirar. Dar suspiros."
anchhiy,anchhiy,anchhiy,intr.,Gemir. Expresar con sonido y voz lastimera pena y dolor,Gemir. Expresar con sonido y voz lastimera pena y dolor.
anchhuchiy,anchhuchiy,anchhuchiy,tr.,"Obligar a apartarse. anchhuy. ithiy, ithiriy. intr. Apartarse. Alejarse, retirarse","Obligar a apartarse. anchhuy. ithiy, ithiriy. intr. Apartarse. Alejarse, retirarse."
anch'ikuq,anch'ikuq,anch'ikuq,adj. y s.,"Dícese del que se paga de su gusto, regalón (JAL)","Dícese del que se paga de su gusto, regalón (JAL)."
